,date,type,browser,visits
0,2023-02-16,People,Google Chrome,222.0
1,2023-02-16,People,Chrome Mobile,124.0
2,2023-02-16,People,Yandex Browser,37.0
3,2023-02-16,People,Safari,32.0
4,2023-02-16,People,Edge,29.0
5,2023-02-16,People,Firefox,19.0
6,2023-02-16,People,Mobile Safari,11.0
7,2023-02-16,Robots,Google Chrome,8.0
8,2023-02-16,Robots,Chrome Mobile,7.0
9,2023-02-16,People,Opera,5.0
10,2023-02-16,Robots,Mobile Safari,4.0
11,2023-02-16,People,Yandex Start: mobile app,3.0
12,2023-02-16,People,MIUI,3.0
13,2023-02-16,Robots,Firefox,3.0
14,2023-02-16,Robots,Yandex Browser,3.0
15,2023-02-16,People,Vivaldi,2.0
16,2023-02-16,People,Opera Mobile,1.0
17,2023-02-16,People,Android Browser,1.0
18,2023-02-16,People,Samsung Internet,1.0
19,2023-02-16,People,Яндекс.Браузер lite,1.0
20,2023-02-16,People,Huawei Browser,1.0
21,2023-02-16,Robots,Opera,1.0
22,2023-02-16,Robots,UCWEB,1.0
23,2023-02-16,Robots,Opera Mobile,1.0
24,2023-02-16,Robots,Firefox Mobile,1.0
